,"{'Name': '', 'Gender': 'Male', 'Married': False, 'Profession': 'president', 'Alive': True, 'Nationality': 'Unknown', 'Children': False}"
Anil Kapoor,"{'Name': 'Anil Kapoor', 'Gender': 'Male', 'Age': '58', 'Married': True, 'Profession': 'actor', 'Alive': True, 'Birthyear': '1956', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Richard Appel,"{'Name': 'Richard Appel', 'Gender': 'Male', 'Age': '51', 'Married': False, 'Profession': 'writer', 'Alive': True, 'Birthyear': '1963', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Philipp Bouhler,"{'Name': 'Philipp Bouhler', 'Gender': 'Male', 'Age': '46', 'Married': True, 'Profession': 'official', 'Alive': False, 'Birthyear': '1899', 'Nationality': 'German', 'Deathyear': '1945', 'Children': False}"
Lucio Massari,"{'Name': 'Lucio Massari', 'Gender': 'Male', 'Age': '64', 'Married': False, 'Profession': 'painter', 'Alive': False, 'Birthyear': '1569', 'Nationality': 'Italian', 'Deathyear': '1633', 'Children': False}"
Ian Thorpe,"{'Name': 'Ian Thorpe', 'Gender': 'Male', 'Age': '32', 'Married': False, 'Profession': False, 'Alive': True, 'Birthyear': '1982', 'Nationality': '&#160;Australia', 'Deathyear': False, 'Children': False}"
Daniel Moi,"{'Name': 'Daniel Moi', 'Gender': 'Male', 'Age': '90', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1924', 'Nationality': 'Kenyan', 'Deathyear': False, 'Children': True}"
Susan Sarandon,"{'Name': 'Susan Sarandon', 'Gender': 'Female', 'Age': '68', 'Married': True, 'Profession': 'actress', 'Alive': True, 'Birthyear': '1946', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Viren J. Shah,"{'Name': 'Viren J. Shah', 'Gender': 'Male', 'Age': '87', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1926', 'Nationality': 'Unknown', 'Deathyear': '2013', 'Children': False}"
Gamal Abdel Nasser,"{'Name': 'Gamal Abdel Nasser', 'Gender': 'Male', 'Age': '52', 'Married': True, 'Profession': 'president', 'Alive': False, 'Birthyear': '1918', 'Nationality': 'Egyptian', 'Deathyear': '1970', 'Children': True}"
Daniel Toroitich arap Moi,"{'Name': 'Daniel Toroitich arap Moi', 'Gender': 'Male', 'Age': '90', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1924', 'Nationality': 'Kenyan', 'Deathyear': False, 'Children': True}"
Matt Denn,"{'Name': 'Matt Denn', 'Gender': 'Male', 'Age': '48', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1966', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Erykah Badu,"{'Name': 'Erykah Badu', 'Gender': 'Female', 'Age': '43', 'Married': False, 'Profession': 'singer', 'Alive': True, 'Birthyear': '1971', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Pope Leo XII,"{'Name': 'Pope Leo XII', 'Gender': 'Male', 'Age': '69', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1760', 'Nationality': 'Unknown', 'Deathyear': '1829', 'Children': False}"
Prince Adolf zu Hohenlohe-Ingelfingen,"{'Name': 'Prince Adolf zu Hohenlohe-Ingelfingen', 'Gender': 'Male', 'Age': '76', 'Married': False, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1797', 'Nationality': 'Unknown', 'Deathyear': '1873', 'Children': False}"
Ariana Grande,"{'Name': 'Ariana Grande', 'Gender': 'Female', 'Age': '21', 'Married': False, 'Profession': 'singer', 'Alive': True, 'Birthyear': '1993', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Walter Isaacson,"{'Name': 'Walter Isaacson', 'Gender': 'Male', 'Age': '62', 'Married': True, 'Profession': 'writer', 'Alive': True, 'Birthyear': '1952', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Ramachandra Guha,"{'Name': 'Ramachandra Guha', 'Gender': 'Male', 'Age': '56', 'Married': True, 'Profession': 'writer', 'Alive': True, 'Birthyear': '1958', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Talib Kweli,"{'Name': 'Talib Kweli', 'Gender': 'Male', 'Age': '39', 'Married': False, 'Profession': 'rapper', 'Alive': True, 'Birthyear': '1975', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Luke Goss,"{'Name': 'Luke Goss', 'Gender': 'Male', 'Age': '46', 'Married': True, 'Profession': 'singer', 'Alive': True, 'Birthyear': '1968', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Tom Schieffer,"{'Name': 'Tom Schieffer', 'Gender': 'Male', 'Age': '67', 'Married': False, 'Profession': 'president', 'Alive': True, 'Birthyear': '1947', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Kurt von Hammerstein-Equord,"{'Name': 'Kurt von Hammerstein-Equord', 'Gender': 'Male', 'Age': '65', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1878', 'Nationality': 'Unknown', 'Deathyear': '1943', 'Children': False}"
Cyhi the Prynce,"{'Name': 'Cyhi the Prynce', 'Gender': 'Male', 'Age': '30', 'Married': False, 'Profession': False, 'Alive': True, 'Birthyear': '1984', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Albert Einstein,"{'Name': 'Albert Einstein', 'Gender': 'Male', 'Age': '76', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1879', 'Nationality': 'Unknown', 'Deathyear': '1955', 'Children': True}"
Charles Anthon,"{'Name': 'Charles Anthon', 'Gender': 'Male', 'Age': '70', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1797', 'Nationality': 'American', 'Deathyear': '1867', 'Children': False}"
Lana Del Rey,"{'Name': 'Lana Del Rey', 'Gender': 'Female', 'Age': '29', 'Married': False, 'Profession': 'singer', 'Alive': True, 'Birthyear': '1985', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Rupatai Patil Nilangekar,"{'Name': 'Rupatai Patil Nilangekar', 'Gender': 'Female', 'Age': '57', 'Married': True, 'Profession': False, 'Alive': True, 'Birthyear': '1957', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Busta Rhymes,"{'Name': 'Busta Rhymes', 'Gender': 'Male', 'Age': '42', 'Married': False, 'Profession': 'rapper', 'Alive': True, 'Birthyear': '1972', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Ashutosh Gowariker,"{'Name': 'Ashutosh Gowariker', 'Gender': 'Male', 'Age': '50', 'Married': True, 'Profession': 'actor', 'Alive': True, 'Birthyear': '1964', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Chiang Kai-shek,"{'Name': 'Chiang Kai-shek', 'Gender': 'Male', 'Age': '88', 'Married': True, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1887', 'Nationality': '&#160;Republic of China', 'Deathyear': '1975', 'Children': True}"
Mike Castle,"{'Name': 'Mike Castle', 'Gender': 'Male', 'Age': '75', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1939', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Rangarajan Kumaramangalam,"{'Name': 'Rangarajan Kumaramangalam', 'Gender': 'Male', 'Age': '48', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1952', 'Nationality': 'Unknown', 'Deathyear': '2000', 'Children': True}"
Ludovico Carracci,"{'Name': 'Ludovico Carracci', 'Gender': 'Male', 'Age': '64', 'Married': False, 'Profession': 'painter', 'Alive': False, 'Birthyear': '1555', 'Nationality': 'Italian', 'Deathyear': '1619', 'Children': False}"
Jagjivan Ram,"{'Name': 'Jagjivan Ram', 'Gender': 'Male', 'Age': '78', 'Married': False, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1908', 'Nationality': 'Unknown', 'Deathyear': '1986', 'Children': True}"
Theodore Roosevelt,"{'Name': 'Theodore Roosevelt', 'Gender': 'Male', 'Age': '61', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1858', 'Nationality': 'Unknown', 'Deathyear': '1919', 'Children': True}"
Pope Pius VII,"{'Name': 'Pope Pius VII', 'Gender': 'Male', 'Age': '81', 'Married': False, 'Profession': 'pope', 'Alive': False, 'Birthyear': '1742', 'Nationality': 'Unknown', 'Deathyear': '1823', 'Children': False}"
Nirmala Sitharaman,"{'Name': 'Nirmala Sitharaman', 'Gender': 'Female', 'Age': '55', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1959', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Adam Bernstein,"{'Name': 'Adam Bernstein', 'Gender': 'Male', 'Age': '54', 'Married': True, 'Profession': False, 'Alive': True, 'Birthyear': '1960', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Sarvepalli Radhakrishnan,"{'Name': 'Sarvepalli Radhakrishnan', 'Gender': 'Female', 'Age': '87', 'Married': True, 'Profession': 'president', 'Alive': False, 'Birthyear': '1888', 'Nationality': 'Indian', 'Deathyear': '1975', 'Children': True}"
Bart Gordon,"{'Name': 'Bart Gordon', 'Gender': 'Male', 'Age': '65', 'Married': True, 'Profession': False, 'Alive': True, 'Birthyear': '1949', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
William Blake,"{'Name': 'William Blake', 'Gender': 'Male', 'Age': '70', 'Married': False, 'Profession': 'painter', 'Alive': False, 'Birthyear': '1757', 'Nationality': 'Unknown', 'Deathyear': '1827', 'Children': False}"
Heinrich Held,"{'Name': 'Heinrich Held', 'Gender': 'Male', 'Age': '70', 'Married': False, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1868', 'Nationality': 'German', 'Deathyear': '1938', 'Children': False}"
Shankarrao Chavan,"{'Name': 'Shankarrao Chavan', 'Gender': 'Male', 'Age': '84', 'Married': False, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1920', 'Nationality': 'Indian', 'Deathyear': '2004', 'Children': True}"
Yusuf Hassan Abdi,"{'Name': 'Yusuf Hassan Abdi', 'Gender': 'Male', 'Age': '61', 'Married': False, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1953', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Elizabeth Taylor,"{'Name': 'Elizabeth Taylor', 'Gender': 'Female', 'Age': '79', 'Married': True, 'Profession': 'actress', 'Alive': False, 'Birthyear': '1932', 'Nationality': 'British-American', 'Deathyear': '2011', 'Children': True}"
Wolfgang Kapp,"{'Name': 'Wolfgang Kapp', 'Gender': 'Male', 'Age': '64', 'Married': True, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1858', 'Nationality': '&#160;Germany', 'Deathyear': '1922', 'Children': True}"
Ned McWherter,"{'Name': 'Ned McWherter', 'Gender': 'Male', 'Age': '81', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1930', 'Nationality': 'Unknown', 'Deathyear': '2011', 'Children': False}"
R. K. Shanmukham Chetty,"{'Name': 'R. K. Shanmukham Chetty', 'Gender': 'Male', 'Age': '61', 'Married': False, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1892', 'Nationality': 'Unknown', 'Deathyear': '1953', 'Children': False}"
Maya Angelou,"{'Name': 'Maya Angelou', 'Gender': 'Female', 'Age': '86', 'Married': False, 'Profession': 'author', 'Alive': False, 'Birthyear': '1928', 'Nationality': 'Unknown', 'Deathyear': '2014', 'Children': False}"
Mohammad Khatami,"{'Name': 'Mohammad Khatami', 'Gender': 'Male', 'Age': '71', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1943', 'Nationality': 'Iranian', 'Deathyear': False, 'Children': True}"
Dave Heineman,"{'Name': 'Dave Heineman', 'Gender': 'Male', 'Age': '66', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1948', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
All City Chess Club,"{'Name': 'All City Chess Club', 'Gender': 'Male', 'Age': '32', 'Married': False, 'Profession': 'rapper', 'Alive': True, 'Birthyear': '1982', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Gerald R. Ford,"{'Name': 'Gerald R. Ford', 'Gender': 'Male', 'Age': '93', 'Married': True, 'Profession': 'president', 'Alive': False, 'Birthyear': '1913', 'Nationality': 'Unknown', 'Deathyear': '2006', 'Children': True}"
Rudolf Diels,"{'Name': 'Rudolf Diels', 'Gender': 'Male', 'Age': '57', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1900', 'Nationality': 'Unknown', 'Deathyear': '1957', 'Children': False}"
Valerie Jarrett,"{'Name': 'Valerie Jarrett', 'Gender': 'Female', 'Age': '58', 'Married': True, 'Profession': 'president', 'Alive': True, 'Birthyear': '1956', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
John W. Weeks,"{'Name': 'John W. Weeks', 'Gender': 'Male', 'Age': '66', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1860', 'Nationality': 'Unknown', 'Deathyear': '1926', 'Children': False}"
Diana Taurasi,"{'Name': 'Diana Taurasi', 'Gender': 'Female', 'Age': '32', 'Married': False, 'Profession': 'basketball player', 'Alive': True, 'Birthyear': '1982', 'Nationality': 'American', 'Deathyear': False, 'Children': False}"
Lupe Fiasco,"{'Name': 'Lupe Fiasco', 'Gender': 'Male', 'Age': '32', 'Married': False, 'Profession': 'rapper', 'Alive': True, 'Birthyear': '1982', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Erich Emminger,"{'Name': 'Erich Emminger', 'Gender': 'Male', 'Age': '71', 'Married': False, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1880', 'Nationality': 'Unknown', 'Deathyear': '1951', 'Children': False}"
Gerhard von Scharnhorst,"{'Name': 'Gerhard von Scharnhorst', 'Gender': 'Male', 'Age': '58', 'Married': False, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1755', 'Nationality': 'Unknown', 'Deathyear': '1813', 'Children': False}"
Rudolf Arnold Nieberding,"{'Name': 'Rudolf Arnold Nieberding', 'Gender': 'Female', 'Age': '74', 'Married': False, 'Profession': 'teacher', 'Alive': False, 'Birthyear': '1838', 'Nationality': 'Unknown', 'Deathyear': '1912', 'Children': False}"
Manilal Gandhi,"{'Name': 'Manilal Gandhi', 'Gender': 'Male', 'Age': '64', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1892', 'Nationality': 'Unknown', 'Deathyear': '1956', 'Children': True}"
Malek Jandali,"{'Name': 'Malek Jandali', 'Gender': 'Male', 'Age': '42', 'Married': False, 'Profession': False, 'Alive': True, 'Birthyear': '1972', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Rick Sheehy,"{'Name': 'Rick Sheehy', 'Gender': 'Male', 'Age': '55', 'Married': False, 'Profession': False, 'Alive': True, 'Birthyear': '1959', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Joe Lieberman,"{'Name': 'Joe Lieberman', 'Gender': 'Male', 'Age': '72', 'Married': True, 'Profession': 'president', 'Alive': True, 'Birthyear': '1942', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Daz Dillinger,"{'Name': 'Daz Dillinger', 'Gender': 'Male', 'Age': '41', 'Married': False, 'Profession': False, 'Alive': True, 'Birthyear': '1973', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Dan Quayle,"{'Name': 'Dan Quayle', 'Gender': 'Male', 'Age': '67', 'Married': True, 'Profession': 'president', 'Alive': True, 'Birthyear': '1947', 'Nationality': 'American', 'Deathyear': False, 'Children': True}"
Walther von Brauchitsch,"{'Name': 'Walther von Brauchitsch', 'Gender': 'Female', 'Age': '67', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1881', 'Nationality': 'Unknown', 'Deathyear': '1948', 'Children': False}"
Benito Mussolini,"{'Name': 'Benito Mussolini', 'Gender': 'Male', 'Age': '62', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1883', 'Nationality': 'Italian', 'Deathyear': '1945', 'Children': True}"
Franklin D. Roosevelt,"{'Name': 'Franklin D. Roosevelt', 'Gender': 'Male', 'Age': '63', 'Married': True, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1882', 'Nationality': 'Unknown', 'Deathyear': '1945', 'Children': True}"
Zahi Hawass,"{'Name': 'Zahi Hawass', 'Gender': 'Male', 'Age': '67', 'Married': False, 'Profession': False, 'Alive': True, 'Birthyear': '1947', 'Nationality': 'Egyptian', 'Deathyear': False, 'Children': False}"
Wangari Maathai,"{'Name': 'Wangari Maathai', 'Gender': 'Female', 'Age': '71', 'Married': False, 'Profession': 'president', 'Alive': False, 'Birthyear': '1940', 'Nationality': 'Unknown', 'Deathyear': '2011', 'Children': False}"
Abbas Tyabji,"{'Name': 'Abbas Tyabji', 'Gender': 'Male', 'Age': '82', 'Married': False, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1854', 'Nationality': 'Unknown', 'Deathyear': '1936', 'Children': False}"
Henry David Thoreau,"{'Name': 'Henry David Thoreau', 'Gender': 'Male', 'Age': '45', 'Married': False, 'Profession': 'author', 'Alive': False, 'Birthyear': '1817', 'Nationality': 'Unknown', 'Deathyear': '1862', 'Children': False}"
C. N. Annadurai,"{'Name': 'C. N. Annadurai', 'Gender': 'Male', 'Age': '60', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1909', 'Nationality': 'Unknown', 'Deathyear': '1969', 'Children': True}"
Birch Bayh,"{'Name': 'Birch Bayh', 'Gender': 'Female', 'Age': '86', 'Married': True, 'Profession': 'author', 'Alive': True, 'Birthyear': '1928', 'Nationality': 'American', 'Deathyear': False, 'Children': True}"
Pat Brown,"{'Name': 'Pat Brown', 'Gender': 'Female', 'Age': '91', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1905', 'Nationality': 'Unknown', 'Deathyear': '1996', 'Children': True}"
Bill Cosby,"{'Name': 'Bill Cosby', 'Gender': 'Male', 'Age': '77', 'Married': True, 'Profession': 'actor', 'Alive': True, 'Birthyear': '1937', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Peter Bogdanovich,"{'Name': 'Peter Bogdanovich', 'Gender': 'Male', 'Age': '75', 'Married': True, 'Profession': 'writer', 'Alive': True, 'Birthyear': '1939', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Giovanni Lanfranco,"{'Name': 'Giovanni Lanfranco', 'Gender': 'Male', 'Age': '65', 'Married': False, 'Profession': False, 'Alive': False, 'Birthyear': '1582', 'Nationality': 'Italian', 'Deathyear': '1647', 'Children': False}"
Lucy Baxley,"{'Name': 'Lucy Baxley', 'Gender': 'Female', 'Age': '77', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1937', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Eugene McCarthy,"{'Name': 'Eugene McCarthy', 'Gender': 'Male', 'Age': '89', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1916', 'Nationality': 'American', 'Deathyear': '2005', 'Children': False}"
Jack Kennedy,"{'Name': 'Jack Kennedy', 'Gender': 'Male', 'Age': '46', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1917', 'Nationality': 'Unknown', 'Deathyear': '1963', 'Children': True}"
Gurdial Singh Dhillon,"{'Name': 'Gurdial Singh Dhillon', 'Gender': 'Male', 'Age': '77', 'Married': False, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1915', 'Nationality': 'Unknown', 'Deathyear': '1992', 'Children': False}"
Dick Harlow,"{'Name': 'Dick Harlow', 'Gender': 'Male', 'Age': '73', 'Married': False, 'Profession': 'football player', 'Alive': False, 'Birthyear': '1889', 'Nationality': 'Unknown', 'Deathyear': '1962', 'Children': False}"
Robert Powell,"{'Name': 'Robert Powell', 'Gender': 'Male', 'Age': '70', 'Married': True, 'Profession': 'actor', 'Alive': True, 'Birthyear': '1944', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
James H. Webb,"{'Name': 'James H. Webb', 'Gender': 'Male', 'Age': '68', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1946', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Yeshwant Vishnu Chandrachud,"{'Name': 'Yeshwant Vishnu Chandrachud', 'Gender': 'Male', 'Age': '88', 'Married': True, 'Profession': 'judge', 'Alive': False, 'Birthyear': '1920', 'Nationality': 'Unknown', 'Deathyear': '2008', 'Children': False}"
Bhairon Singh Shekhawat,"{'Name': 'Bhairon Singh Shekhawat', 'Gender': 'Male', 'Age': '87', 'Married': True, 'Profession': 'vice-president', 'Alive': False, 'Birthyear': '1923', 'Nationality': 'Unknown', 'Deathyear': '2010', 'Children': False}"
William Howard Taft III,"{'Name': 'William Howard Taft III', 'Gender': 'Male', 'Age': '76', 'Married': False, 'Profession': 'president', 'Alive': False, 'Birthyear': '1915', 'Nationality': 'Unknown', 'Deathyear': '1991', 'Children': True}"
Pranab Mukherjee,"{'Name': 'Pranab Mukherjee', 'Gender': 'Male', 'Age': '79', 'Married': True, 'Profession': 'president', 'Alive': True, 'Birthyear': '1935', 'Nationality': 'Indian', 'Deathyear': False, 'Children': True}"
John Wingate Weeks,"{'Name': 'John Wingate Weeks', 'Gender': 'Male', 'Age': '66', 'Married': True, 'Profession': 'politician', 'Alive': False, 'Birthyear': '1860', 'Nationality': 'Unknown', 'Deathyear': '1926', 'Children': False}"
Joshua Irungu,"{'Name': 'Joshua Irungu', 'Gender': 'Male', 'Age': '44', 'Married': False, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1970', 'Nationality': 'Kenyan', 'Deathyear': False, 'Children': False}"
Bill Clinton,"{'Name': 'Bill Clinton', 'Gender': 'Male', 'Age': '68', 'Married': True, 'Profession': 'politician', 'Alive': True, 'Birthyear': '1946', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Neelam Sanjiva Reddy,"{'Name': 'Neelam Sanjiva Reddy', 'Gender': 'Male', 'Age': '83', 'Married': False, 'Profession': 'president', 'Alive': False, 'Birthyear': '1913', 'Nationality': 'Indian', 'Deathyear': '1996', 'Children': False}"
Quentin Tarantino,"{'Name': 'Quentin Tarantino', 'Gender': 'Male', 'Age': '51', 'Married': False, 'Profession': 'writer', 'Alive': True, 'Birthyear': '1963', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
James Steinberg,"{'Name': 'James Steinberg', 'Gender': 'Male', 'Age': '61', 'Married': True, 'Profession': False, 'Alive': True, 'Birthyear': '1953', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Ranbir Kapoor,"{'Name': 'Ranbir Kapoor', 'Gender': 'Male', 'Age': '32', 'Married': False, 'Profession': 'actor', 'Alive': True, 'Birthyear': '1982', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Margherita Sarfatti,"{'Name': 'Margherita Sarfatti', 'Gender': 'Female', 'Age': '81', 'Married': True, 'Profession': False, 'Alive': False, 'Birthyear': '1880', 'Nationality': 'Italian', 'Deathyear': '1961', 'Children': False}"
Smith Hempstone,"{'Name': 'Smith Hempstone', 'Gender': 'Male', 'Age': '77', 'Married': True, 'Profession': 'author', 'Alive': False, 'Birthyear': '1929', 'Nationality': 'United States', 'Deathyear': '2006', 'Children': True}"
Nate Dogg,"{'Name': 'Nate Dogg', 'Gender': 'Male', 'Age': '42', 'Married': False, 'Profession': 'singer', 'Alive': False, 'Birthyear': '1969', 'Nationality': 'Unknown', 'Deathyear': '2011', 'Children': False}"
Brad Henry,"{'Name': 'Brad Henry', 'Gender': 'Male', 'Age': '51', 'Married': True, 'Profession': False, 'Alive': True, 'Birthyear': '1963', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': True}"
Russell W. Peterson,"{'Name': 'Russell W. Peterson', 'Gender': 'Male', 'Age': '95', 'Married': True, 'Profession': 'scientist', 'Alive': False, 'Birthyear': '1916', 'Nationality': 'Unknown', 'Deathyear': '2011', 'Children': False}"
Joseph Smith,"{'Name': 'Joseph Smith', 'Gender': 'Male', 'Age': '39', 'Married': False, 'Profession': 'leader', 'Alive': False, 'Birthyear': '1805', 'Nationality': 'Unknown', 'Deathyear': '1844', 'Children': True}"
Henry Cabot Lodge Jr.,"{'Name': 'Henry Cabot Lodge Jr.', 'Gender': 'Male', 'Age': '83', 'Married': True, 'Profession': 'president', 'Alive': False, 'Birthyear': '1902', 'Nationality': 'American', 'Deathyear': '1985', 'Children': True}"
Robert Kardashian Jr.,"{'Name': 'Robert Kardashian Jr.', 'Gender': 'Male', 'Age': '27', 'Married': False, 'Profession': 'model', 'Alive': True, 'Birthyear': '1987', 'Nationality': 'Unknown', 'Deathyear': False, 'Children': False}"
Barry Goldwater,"{'Name': 'Barry Goldwater', 'Gender': 'Male', 'Age': '89', 'Married': True, 'Profession': 'president', 'Alive': False, 'Birthyear': '1909', 'Nationality': 'Unknown', 'Deathyear': '1998', 'Children': True}"
